block_number,from_address,to_address,value,transaction_hash,block_date,transaction_idx,created_at
13130302,0x0000000000000000000000000000000000000000,0xf5c27c6fe782cbb5c85989ea3e75754748153459,1.6969696969e10,0x5e5d83fd2d43b3f7aab6f2b4c21a69dd6d804f59711dec13198d4792a4e5e158,2021-08-31T01:11:17.000000,409,2023-04-19T11:10:18.500163
13130538,0xf5c27c6fe782cbb5c85989ea3e75754748153459,0x9d6c60d26b8f776b85d5731ad56b88973c3d370b,3393939393.0,0x224adab5a60da682cc4dc5e2ffd885ef291da3cebb35abe28782648762baf8ab,2021-08-31T02:07:06.000000,177,2023-04-19T11:10:18.561369
13130538,0x9d6c60d26b8f776b85d5731ad56b88973c3d370b,0x5e29c9bf97c45e55f1c2257d0ecf6909726745f3,3393939393.0,0x224adab5a60da682cc4dc5e2ffd885ef291da3cebb35abe28782648762baf8ab,2021-08-31T02:07:06.000000,177,2023-04-19T11:10:18.619346
13147550,0x0000000000000000000000000000000000000000,0xf5c27c6fe782cbb5c85989ea3e75754748153459,0.0,0x94d91c8b1c7a060f1800911ee87d6b4667baec191adc3f480c63c5e23cbba9ea,2021-09-02T17:11:47.000000,273,2023-04-19T11:10:18.685512
13147550,0x0000000000000000000000000000000000000000,0x016596abf1eb19de270e0409da362496b453fab2,0.0,0x94d91c8b1c7a060f1800911ee87d6b4667baec191adc3f480c63c5e23cbba9ea,2021-09-02T17:11:47.000000,273,2023-04-19T11:10:18.737581
13148013,0xf5c27c6fe782cbb5c85989ea3e75754748153459,0xc96f20099d96b37d7ede66ff9e4de59b9b1065b1,848484848.0,0xf6dba64f2ab813ff3948eb5c5acdbca1811f13649e921b12f88c074572457493,2021-09-02T18:58:39.000000,36,2023-04-19T11:10:18.822384
13148019,0xc96f20099d96b37d7ede66ff9e4de59b9b1065b1,0xa62c5ba4d3c95b3ddb247eabaa2c8e56bac9d6da,566415.19430973,0xe4a0042c1dd34ff86009ec7a821031002e4bc7d56064911b777554bb331b9786,2021-09-02T18:59:20.000000,3,2023-04-19T11:10:18.888800
13148019,0x5e29c9bf97c45e55f1c2257d0ecf6909726745f3,0xb2fc069c69e5751f695ee02b9be7260ebc0cda6f,280401.25680966,0xa1be24bc857891805c352d0ce11d613657d7aa4f31b0831412eb6b59dbb7d718,2021-09-02T18:59:20.000000,62,2023-04-19T11:10:18.952984
13148019,0xc96f20099d96b37d7ede66ff9e4de59b9b1065b1,0x7ba7f7ba93ed40d18b7783419081b6101e47ff0f,407350.08745796,0x2de5e4aae100353ad9e50cbe4e66367db72fa24a2898928a88473b198a086e0a,2021-09-02T18:59:20.000000,141,2023-04-19T11:10:19.014636
13148020,0xc96f20099d96b37d7ede66ff9e4de59b9b1065b1,0x1d6e8bac6ea3730825bde4b005ed7b2b39a2932d,11457663.15230496,0xcd88b1e53242f1d14bf9c2ccf95e1acd1ff2b542d1e1aa3913c14b944086e012,2021-09-02T18:59:30.000000,0,2023-04-19T11:10:19.080907
